dateTime;open;high;low;close;volume
20181001 050100;2935.25;2935.25;2934.75;2934.75;301
20181001 050200;2935;2935;2934.75;2935;7
20181001 050300;2934.75;2935;2934.75;2935;33
20181001 050400;2934.75;2935;2934.5;2934.75;196
20181001 050500;2935;2935;2935;2935;1
20181001 050600;2934.75;2935;2934.5;2934.75;48
20181001 050700;2934.5;2934.75;2934.5;2934.75;15
20181001 050800;2934.5;2935.25;2934.5;2935;541
20181001 050900;2934.75;2934.75;2934.5;2934.5;79
20181001 051000;2934.5;2934.75;2934.5;2934.5;11
20181001 051100;2934.5;2934.5;2934.5;2934.5;120
20181001 051200;2934.25;2934.75;2934.25;2934.75;144
20181001 051300;2934.5;2934.5;2934.25;2934.5;66
20181001 051400;2934.5;2934.5;2934.5;2934.5;97
20181001 051500;2934.75;2934.75;2934.5;2934.5;6
20181001 051600;2934.5;2934.75;2934.5;2934.75;21
20181001 051700;2934.5;2934.75;2934.5;2934.75;13
20181001 051800;2934.5;2935;2934.5;2935;109
20181001 051900;2934.75;2935;2934.75;2935;37
20181001 052000;2935;2935;2935;2935;60
20181001 052100;2935;2935;2934.75;2934.75;8
20181001 052200;2934.75;2934.75;2934.75;2934.75;12
20181001 052300;2934.75;2935;2934.75;2934.75;31
20181001 052400;2935;2935;2934.75;2934.75;4
20181001 052500;2934.75;2935;2934.75;2935;5
20181001 052600;2935;2935;2934.75;2934.75;22
20181001 052700;2934.75;2934.75;2934;2934.25;277
20181001 052800;2934.25;2934.25;2934;2934;20
20181001 052900;2934;2934.25;2934;2934;111
20181001 053000;2934;2934.5;2934;2934.25;95
20181001 053100;2934.25;2934.25;2934;2934;22
20181001 053200;2934;2934.25;2934;2934.25;5
20181001 053300;2934;2934.25;2934;2934;74
20181001 053400;2934;2934;2934;2934;52
20181001 053500;2934;2934.25;2934;2934.25;3
20181001 053600;2934.25;2934.25;2934;2934.25;5
20181001 053700;2934.25;2934.25;2934;2934;31
20181001 053800;2934;2934.25;2934;2934.25;12
20181001 053900;2934;2934;2933.75;2934;99
20181001 054000;2933.75;2934;2933.75;2934;46
20181001 054100;2933.75;2934;2933.75;2934;7
20181001 054200;2934;2934;2933.75;2934;49
20181001 054300;2934;2934;2933.75;2933.75;64
20181001 054400;2933.75;2934;2933.75;2934;4
20181001 054500;2934;2934;2933.75;2934;74
20181001 054600;2934.25;2934.5;2934.25;2934.5;60
